,tac0,tac1,tac2,tac3,sigma0,sigma1,sigma2,sigma3
167,-2.185611,-1.6932057,-1.5593425,-1.2118121,0.88715494,0.95369565,0.970107,0.9777461
168,-3.0417633,-2.6616945,-2.560694,-2.27318,0.9244486,0.8422933,0.78737605,0.8567236
169,-1.640546,-1.3089632,-1.0965583,-0.5953298,1.104153,1.0878391,1.2269944,1.2279795
170,-1.4098886,-1.0493953,-0.88074476,-0.43274206,1.0528442,1.0511411,1.0465555,1.0771791
171,-2.2380385,-2.005591,-1.8520459,-1.3852645,1.0397762,0.9583609,0.94766134,1.0606184
172,-2.880753,-2.5879378,-2.305675,-2.0764692,1.0753586,1.0751866,1.0328715,1.0316167
173,-2.9023592,-2.525376,-2.5157642,-2.270418,1.3061389,1.2305351,1.1766312,1.1672878
174,-1.3151603,-0.8888662,-0.7384206,-0.5303675,1.3294505,1.1998184,1.0910147,1.1592386
175,-2.509296,-2.108701,-1.9397324,-1.6597704,0.9084924,0.92571825,0.86001825,0.86834157
176,-1.9279926,-1.5416977,-1.1526176,-1.0674485,0.99096596,0.8828349,1.0186459,1.056185
177,-2.1623414,-1.7126061,-1.5227203,-1.4664036,1.0326216,1.0317446,1.1250225,1.1379254
178,-2.1556923,-1.7561712,-1.6070454,-1.3251951,1.0234932,0.9968477,1.0095422,1.0041391
179,-1.92419,-1.5894241,-1.1975509,-0.997696,1.1936824,1.1009411,1.1146932,1.0596052
180,-3.6300914,-3.0737226,-2.836202,-2.7562761,1.0874484,0.9065179,0.94384634,0.93308866
181,-2.3551676,-1.7622014,-1.5860119,-1.4731671,0.97408926,1.0653908,1.1018761,0.9635511
182,-2.110398,-1.7140943,-1.3360921,-0.9353629,0.9647712,0.9828865,1.0016398,1.0620121
183,-1.5868156,-1.2190028,-1.1563866,-0.8511504,1.0125045,1.0641593,1.0230454,0.92754704
184,-2.6143394,-2.212703,-1.9885089,-1.5909611,0.8479331,0.9364584,0.8502303,0.8861749
185,-2.7797565,-2.3557515,-2.0138164,-1.705573,0.79119515,0.76199967,0.7669646,0.9557598
186,-2.8572903,-2.5871396,-2.3901956,-2.0041807,0.9220881,0.9872971,0.9071404,1.1322628
187,-2.44564,-2.0475638,-1.8422151,-1.403679,1.0010927,0.9035905,1.0089289,1.0588379
188,-2.020346,-1.7150058,-1.4857572,-1.2498938,1.0278698,0.8588292,0.9680335,0.98006344
189,-3.2110171,-2.755789,-2.5853844,-2.3534331,0.7866339,0.83514804,0.7931149,0.8162936
190,-1.6111193,-1.3422284,-1.1801157,-0.8293295,0.9999377,0.7883059,0.83488256,0.9779699
191,-2.5477383,-2.2518127,-1.9421738,-1.7757269,0.75386465,0.7300694,0.81641275,0.7874972
192,-1.1523792,-1.0157566,-0.65293807,-0.4183809,1.0993712,1.0361325,1.0523394,1.2722938
193,-0.681895,-0.3031982,-0.06681919,0.2155011,0.90538937,1.0978862,1.009712,1.1190085
194,-1.5852474,-1.2165974,-0.9401388,-0.73936343,0.89244676,0.8672319,0.84666264,0.9402573
195,-1.2362392,-0.8422375,-0.6522932,-0.4201526,0.8535958,0.9103394,0.8182371,1.0113809
196,-1.5625157,-1.0895536,-0.8972849,-0.6221891,0.9347571,0.9427245,0.9574635,1.0137457
197,-1.3860749,-1.1025544,-0.84018135,-0.41899928,1.0239775,0.89374995,0.92423815,1.0522722
198,-0.72862315,-0.43699843,-0.16362627,0.06566854,1.0766878,1.0588875,1.0436296,1.1034163
199,-1.3501613,-0.99174345,-0.84604955,-0.5835165,0.897864,0.955853,0.8228112,0.9423298
200,-2.0832283,-1.9219186,-1.5209105,-1.3448234,0.6860191,0.67349166,0.75889915,0.74389195
201,-1.3223339,-1.0333244,-0.823368,-0.62736815,0.80812573,0.8516998,0.8980366,0.8843896
202,-1.489403,-1.2008256,-0.9136276,-0.7014607,0.7776207,0.7348287,0.7815062,0.84942347
203,-0.9241237,-0.7382793,-0.37468487,-0.10877462,1.1119895,1.1003407,1.0855932,1.2077965
204,-0.6023258,-0.3463688,-0.15227628,0.18174706,1.0766519,0.98404765,1.0420662,1.1128645
205,-1.3773134,-1.0880977,-0.7679919,-0.5891791,0.76510775,0.7291145,0.8368531,0.81862414
206,-1.5447712,-1.2699977,-0.9699632,-0.8298523,0.8098219,0.7794739,0.8682141,0.867552
207,-1.9393629,-1.6106596,-1.4200561,-1.159638,0.7583396,0.7695099,0.7327232,0.8060994
208,-1.4881428,-1.2780235,-1.1006135,-0.7939011,0.86562574,0.8298446,0.92758256,1.1517155
209,-1.9229565,-1.6756978,-1.3344374,-1.1018277,0.8417885,0.7628647,0.7864638,0.84943706
210,-1.8314033,-1.4508437,-1.1077247,-1.0040002,0.8865286,0.8576303,0.86099553,0.91399753
211,-1.5116014,-1.2009567,-0.99436635,-0.6638011,0.8645419,0.8575335,0.8490337,0.9948436
212,-0.6164976,-0.30700305,-0.21178752,0.15823787,1.2508595,1.1698884,1.2240363,1.2678266
213,-1.1701506,-0.86000097,-0.49322584,-0.18939129,1.0257015,0.9146873,1.0291541,1.0324247
214,-0.6076857,-0.21529427,0.15289152,0.31518656,1.1446936,1.1085906,1.1291838,1.2100699
215,-1.3971722,-1.1744897,-0.83859146,-0.659151,0.8775109,0.743091,0.90269905,0.8823237
216,-1.5953492,-1.2957538,-0.99027365,-0.82575786,0.88655823,0.971371,0.8012386,0.8947623
217,-0.43810764,-0.08986942,0.12306208,0.63996804,1.0706297,1.0663882,1.068881,1.1135482
218,-0.69398123,-0.46653947,-0.16251701,0.20309621,1.0765786,1.022343,1.1216362,1.1767902
219,-1.1720958,-0.95797324,-0.69230646,-0.36460322,0.8961598,0.9569569,1.0506532,1.0112993
220,-0.38082802,-0.09948341,0.1273066,0.47941342,1.1524268,1.1967039,1.2428449,1.3283504
221,-1.0285671,-0.7643658,-0.53958887,-0.25254467,1.1234126,1.1864167,1.09322,1.0930992
222,-2.1512215,-2.0348918,-1.6310655,-1.3796744,0.8311208,0.712189,0.733946,0.8395939
223,-1.8329955,-1.5566684,-1.3800678,-1.0252949,0.78591883,0.69950956,0.80721503,0.8777086
224,-1.3288112,-0.8990483,-0.65662694,-0.23100515,0.9444374,1.0714285,0.97166264,0.99300945
225,-0.8828076,-0.52878135,-0.36536318,-0.13370793,1.0928804,1.1500788,1.0855894,1.1017821
226,-1.7385993,-1.5343417,-1.2182164,-0.90041846,0.9069313,0.8510269,0.8574773,0.9659198
227,-1.6613479,-1.456259,-1.2350368,-0.982168,0.90727806,1.0064771,1.0522751,1.0164233
228,-2.4003122,-2.1042082,-1.8492662,-1.4462217,1.0084319,1.1449875,0.9740159,1.052899
229,-1.5233864,-1.2463055,-0.8560684,-0.50157815,0.93113106,0.8739692,0.8859964,0.96795213
230,-0.7239531,-0.38377434,-0.14731888,0.19891421,1.0956352,1.1356821,1.0348024,1.2217736
231,-2.3078737,-1.9652513,-1.645344,-1.4052167,0.93535835,0.8025466,0.8780486,0.87820816
232,-1.588639,-1.3163203,-0.9934609,-0.67712814,1.1707834,1.0855192,1.224957,1.2535291
233,-1.5256776,-1.1250826,-0.9247449,-0.67386645,1.403506,1.3957201,1.4299868,1.4476084
234,-2.6401174,-2.2028918,-1.8877493,-1.7745845,1.2028706,1.01433,1.1008723,1.1021246
235,-1.1352398,-0.9458249,-0.60539216,-0.36479074,1.264078,1.1119528,1.1339836,1.2874572
236,-1.0561184,-0.7822122,-0.5377319,-0.3283409,1.0856881,1.062875,0.9728409,1.1269871
237,-0.771304,-0.4107691,-0.0794456,0.18310952,1.1151981,0.98297065,1.1063285,1.19713
238,-1.7945143,-1.3562665,-1.084193,-0.9488645,0.95248884,0.9748083,0.9145748,1.1014994
239,-1.7789567,-1.4771247,-1.1695611,-0.824972,1.1512477,1.0790578,1.0175267,1.1302617
240,-1.5811199,-1.260444,-1.0088214,-0.71656454,0.9972153,1.113105,0.9859531,1.0480567
241,-2.0056982,-1.6506608,-1.5587703,-1.2150562,1.0619897,1.1599829,1.2330323,1.1809686
242,-2.2204516,-1.9170219,-1.434042,-1.116614,1.1261945,1.0772816,1.0880363,1.2291255
243,-1.8312654,-1.5580906,-1.3536695,-1.1846746,1.0690671,1.0345137,0.9663512,1.0310912
244,-1.608345,-1.1537299,-0.8198764,-0.45678335,1.0281831,1.1493223,1.171383,1.1433392
245,-2.2341964,-1.9430113,-1.7793694,-1.5210721,0.9741174,0.9684837,0.9281511,0.9999788
246,-1.4664559,-1.0852436,-0.89321387,-0.8087095,1.3477937,1.2861507,1.4671373,1.3053732
247,-1.9742712,-1.5496619,-1.2498792,-1.0413059,1.1036497,0.95977634,1.0646116,1.0559537
248,-2.525343,-2.4437435,-1.9951483,-1.7825408,0.96645254,0.8190467,0.8309843,0.89379543
249,-0.5943585,-0.2325092,0.1028646,0.20588036,1.1856467,1.2464428,1.2856055,1.2676924
250,-2.4213908,-2.001048,-1.6564665,-1.3031516,1.0806974,1.0033619,1.207734,1.1768509
251,-2.9057891,-2.4554093,-2.3060288,-1.9779352,0.87669563,0.8323706,0.87137175,0.9786845
252,-1.8439647,-1.4450425,-1.1600997,-0.9507542,1.0326781,1.0554758,1.1093717,1.196303
253,-1.6133077,-1.0721079,-0.87541264,-0.64122564,1.2826358,1.1689072,1.2192489,1.2236787
254,-1.9293243,-1.5669569,-1.027897,-1.2031727,1.3793359,1.519471,1.7284127,1.6246068
255,-1.1227335,-0.68979585,-0.45248806,-0.20462817,1.3216187,1.1904712,1.2285246,1.1937883
256,-0.2750216,-0.13353324,0.10499792,0.41576773,1.2066658,1.1353118,1.16355,1.1787769
257,-1.7148601,-1.6431062,-1.4435234,-1.2334241,0.79503053,0.79707044,0.7824205,0.84112656
258,-1.8860365,-1.5210619,-1.231724,-1.1043094,1.5233355,1.5349944,1.5582875,1.5962214
259,-2.1811156,-2.0279818,-1.720571,-1.4164113,1.0729141,1.0422183,1.1738203,0.9550682
260,-2.234441,-1.9913195,-1.8284217,-1.469217,1.0557885,1.1967942,1.0338604,1.1139784
