,tac0,tac1,tac2,tac3,sigma0,sigma1,sigma2,sigma3
63,0.21381432,0.17525727,0.19317386,0.14675736,1.377567,1.332305,1.3457828,1.4079885
64,0.15258002,0.15493059,0.17679095,0.12938797,0.9517973,0.9457987,0.90547115,0.9536511
65,0.354774,0.5225917,0.42439842,0.4459684,1.0436337,1.0326213,1.0470556,1.0148989
66,0.51174927,0.6224066,0.48225164,0.5585109,1.222165,1.1803089,1.1657702,1.2001256
67,0.323501,0.3061949,0.28464115,0.2721011,1.9209557,1.9250062,1.8947212,1.8151288
68,0.16388106,0.21032405,0.2139206,0.20840645,1.0062233,0.85513216,0.95461786,1.0183189
69,0.34050822,0.3693437,0.3448112,0.27834266,1.0747157,1.0073376,1.0051725,1.064291
70,0.47286272,0.49092722,0.5389581,0.56998396,1.2295744,1.2710558,1.2007636,1.2981573
71,0.19996786,0.18929148,0.38191307,0.26243532,1.243341,1.1724635,1.1231549,1.2180133
72,0.39233053,0.46645206,0.3868574,0.44386464,1.078195,1.097266,1.0411896,1.1728665
73,0.41771388,0.44414496,0.4600126,0.51089346,1.108904,1.1148701,1.201102,1.0967679
74,0.48955595,0.46665722,0.4422652,0.48395398,1.687635,1.5228007,1.54795,1.6140294
75,0.2258724,0.346866,0.3003484,0.27436304,1.3521639,1.1396455,1.5378368,1.5194408
76,0.30606925,0.3649552,0.29356903,0.2403574,1.0993419,1.0254831,1.1717894,1.0836177
77,0.3845985,0.44811678,0.33515763,0.46936655,1.4007697,1.3224989,1.3864405,1.4767116
78,0.44165266,0.384601,0.3193916,0.3861962,1.1411302,1.1491075,1.1514133,1.1598904
79,0.3825965,0.20416117,0.21586037,0.24215937,1.2994746,1.2036135,1.0336403,1.135372
80,0.25167727,0.308254,0.19964159,0.26882374,0.9685988,0.9596826,1.0037471,0.96358985
81,0.2676754,0.15731192,0.24558258,0.3724196,1.0148519,1.0249977,0.98438185,1.0044334
82,0.18202686,0.2514472,0.23832941,0.25618625,1.3214039,1.1985991,1.2750056,1.2881358
83,0.27475476,0.2023778,0.23208857,0.41669142,1.0802461,1.2694502,1.1702605,1.1412613
84,0.40111965,0.1911208,0.3994265,0.26692104,1.4667624,1.4177684,1.5045449,1.2115318
85,0.19317412,0.26694995,0.1988349,0.22294366,1.023228,1.049334,1.0645863,1.1381966
86,0.20789272,0.19017255,0.1880693,0.23068249,1.1814152,1.3223914,1.2903149,1.3377609
87,0.19168401,0.26502848,0.20474267,0.23388743,1.4004858,1.3452884,1.2585735,1.3901392
88,0.3205068,0.30619955,0.26747966,0.24734712,0.9960703,0.8769942,0.9648229,1.0471652
89,0.41817713,0.36184597,0.4752773,0.4716574,1.0520157,1.0461644,1.1240821,1.030164
90,0.19984406,0.2768777,0.24102321,0.18284303,1.2653122,1.212134,1.2279346,1.3385521
91,0.2638886,0.1619376,0.22588074,0.21455252,1.1039739,0.936637,1.0512542,1.2769597
92,0.34604144,0.27798414,0.3648901,0.19984293,1.3691015,1.3365632,1.2420313,1.3025628
93,0.39635658,0.34642076,0.3854512,0.30164433,1.1211125,1.1072077,1.1188446,1.3149478
94,0.43756342,0.51744175,0.4027903,0.4903202,1.3563113,1.2930812,1.3094988,1.4711133
95,0.21584845,0.15358114,0.25313914,0.275761,1.6131715,1.5674337,1.495306,1.6781017
96,0.3439582,0.39868426,0.27565882,0.2992349,1.0942228,1.0878286,1.2328509,1.2442529
97,0.37151825,0.33618855,0.36831164,0.49201512,1.2139224,1.1546988,1.1462185,1.1852616
98,0.24839509,0.28344077,0.3611143,0.24913849,0.9014137,0.9327176,0.858961,0.949313
99,0.31288755,0.25133145,0.23223364,0.22759843,0.9787518,0.8142577,0.90335256,0.9464367
100,0.08154118,0.11404574,0.118011236,0.084650695,0.78469825,0.76589596,0.7740482,0.8669157
101,0.29055047,0.21743321,0.26623404,0.23738194,1.0573317,0.9768674,0.99650055,1.0031852
102,0.2026105,0.17616391,0.25870162,0.23055613,1.0152162,1.0284294,1.0129806,1.1136758
103,0.26771933,0.19905716,0.25347555,0.25963014,0.9243079,0.9362055,0.8033627,0.9661186
104,0.30975118,0.24964392,0.30072922,0.19287625,1.2231468,1.0628287,1.2032769,1.242729
105,0.26533908,0.28284407,0.2536223,0.19522029,1.0406566,1.0145051,1.1317618,1.0281011
106,0.23029554,0.30264902,0.2691238,0.31257904,1.49737,1.2500355,1.3495297,1.3911659
107,0.1875521,0.2558983,0.2050094,0.17630675,0.82579756,0.9061338,0.95478475,0.9947887
108,0.1952194,0.19618475,0.18265188,0.18343931,0.8888451,0.86968625,1.299931,0.86770403
109,0.21790206,0.28315157,0.25646526,0.23159423,0.8857702,0.83096063,0.92172426,0.93736935
110,0.31381038,0.32100177,0.34344065,0.26094025,1.0883379,0.94343007,0.96782804,1.1371533
111,0.33558893,0.3135409,0.2538092,0.34807953,1.3956937,1.2568823,1.3941021,1.5433326
112,0.33528936,0.24311036,0.24080414,0.19824013,0.88373375,0.8714289,0.9223669,1.1628875
113,0.17093468,0.19000678,0.20715922,0.17611271,1.0246519,0.9012118,0.9456595,1.041144
114,0.25135386,0.30932322,0.22415647,0.26512325,1.0900136,1.1736768,1.1906968,1.1904993
115,0.2685907,0.11646819,0.24974006,0.22314543,0.95044076,0.99183875,0.8242956,0.89453727
116,0.24430194,0.4129268,0.22901532,0.21003383,1.6956124,1.3236938,1.2622389,1.236971
117,0.3301982,0.24339056,0.2957324,0.34006098,0.92636913,1.0375965,0.8792015,0.9903571
118,0.25275308,0.29074743,0.31604952,0.235359,1.0893147,1.1336937,1.2302967,1.181101
119,0.28188896,0.15602791,0.17522252,0.2287023,0.8234923,0.8387739,0.79990226,0.7818621
120,0.24584818,0.33663476,0.23949279,0.31361055,1.0780462,1.161413,1.0998923,1.0968786
121,0.21886718,0.21546137,0.21628451,0.22716647,0.87956476,0.94073904,0.8864598,0.9093052
122,0.30888644,0.45683065,0.29285294,0.52839977,1.2156761,1.0773786,1.0864378,1.1468964
123,0.21320397,0.18734562,0.26296526,0.18484999,1.1725129,1.0001634,1.0894957,1.1478087
124,0.14994442,0.17335147,0.16914117,0.13129029,0.8432654,0.73230785,0.7476781,0.8347896
125,0.17454457,0.21453476,0.18706107,0.16457129,0.94636524,0.9808401,0.96671283,1.0968785
126,0.37680763,0.45145476,0.39241022,0.31729934,0.99409544,1.0600884,1.1164615,1.0007101
127,0.15934062,0.13409746,0.13847339,0.14712581,0.77056265,0.74602157,0.7070774,0.7601314
128,0.27823073,0.24064732,0.21545117,0.17993516,1.012038,0.9569669,1.0644956,1.0692164
129,0.19152367,0.28274167,0.25842035,0.24747264,0.90495634,0.86862177,0.8135304,0.9032932
130,0.25880373,0.25569546,0.2478413,0.3057103,0.8837316,0.9279749,0.93511945,0.9141678
131,0.24048132,0.20047289,0.28462568,0.32805318,1.0628217,0.9961779,1.3856097,1.0223622
132,0.16328454,0.18719125,0.23094648,0.17780036,0.9040787,0.98629946,0.8889216,1.0657027
133,0.25973606,0.24020076,0.34258485,0.30711854,0.8655832,0.74905175,0.8258973,0.7887985
134,0.22296739,0.23548079,0.18400812,0.16522753,0.7921109,0.7968144,0.7534317,0.8156639
135,0.22986126,0.26833415,0.3500836,0.323745,0.93189865,0.99502784,1.1259508,1.0342468
136,0.17578328,0.16960645,0.1869458,0.16410178,1.0727556,1.0177554,1.0378911,1.0835577
137,0.21687126,0.23624325,0.27254522,0.2072581,1.1536217,1.1079657,1.0849944,1.1537257
138,0.19051027,0.19903505,0.18258917,0.19676852,0.90985066,0.8765199,0.7935824,0.785885
