,tac0,tac1,tac2,tac3,sigma0,sigma1,sigma2,sigma3
51,-2.5508873,-2.3595686,-2.1890204,-2.136506,0.8559846,0.85037124,0.8773049,0.9280013
52,-2.4396431,-2.1961846,-1.961765,-1.8750268,0.90963435,0.8949729,0.9107917,0.91770774
53,-2.3371272,-2.1976883,-1.9987293,-1.7652376,0.9627948,0.8950526,0.9032854,0.9198797
54,-2.3702457,-2.0271654,-2.0009658,-1.9576292,1.1001304,1.0940208,1.1007375,1.1245812
55,-1.6402748,-1.4134625,-1.2101914,-1.1513073,0.8761694,0.8235144,0.90314436,0.87170094
56,-2.0297658,-1.8014439,-1.593872,-1.6562107,0.8927349,0.88066,0.8665197,0.8752343
57,-2.1938715,-1.9955966,-1.6519958,-1.4788494,0.9395072,0.86428887,0.92543036,0.95998555
58,-3.053785,-2.8168013,-2.6371503,-2.5235345,0.91743636,0.8338863,0.8060183,0.9097282
59,-2.7253387,-2.5278895,-2.356557,-2.1046414,0.924908,0.9093373,0.9090967,0.9261159
60,-2.0803113,-1.7683164,-1.589981,-1.4769975,0.8403193,0.84409153,0.8513192,0.83062917
61,-1.9562798,-1.712992,-1.5433686,-1.3260976,0.7275051,0.7054057,0.672094,0.72977024
62,-2.0538745,-1.8831915,-1.6929963,-1.6785945,0.86968786,0.85853034,0.8427386,0.92076755
63,-2.2028916,-1.9999657,-1.821028,-1.8336112,0.989432,1.0012472,0.999521,1.0533978
64,-1.0538203,-0.59779495,-0.6394466,-0.20879602,1.2444315,1.3042451,1.1379938,1.2775913
65,-1.4654399,-1.1798662,-0.9056711,-0.81903654,1.2299458,1.0287943,0.9209133,1.0201002
66,-2.6792212,-2.2520883,-1.9088408,-1.8048192,1.1653391,1.4932141,1.1878068,1.4926627
67,-1.1235818,-0.68682367,-0.48917422,-0.22309263,0.9635698,1.1404006,1.2208331,1.030422
68,-2.2828052,-1.9953839,-1.8972896,-1.758655,1.0405763,1.3548865,1.0731002,1.012199
69,-1.7980151,-1.4684818,-1.3079375,-1.0676167,0.79093486,0.8847398,0.8472957,0.81403655
70,-3.4022985,-3.010203,-2.834427,-2.4514298,1.226895,1.2524661,1.28353,1.3906891
71,-2.5620542,-2.3109536,-2.0569623,-1.6285284,1.0741637,1.1160358,1.117908,1.2037737
72,-1.4764359,-1.2211305,-1.1908,-0.8323954,1.1888545,1.2273145,1.0730231,1.2037077
73,-1.8655933,-1.5107062,-1.268868,-1.1344907,1.2083635,1.1238686,1.1792691,1.0984749
74,-2.127354,-1.8481491,-1.6985998,-1.2015921,1.3915111,1.2914768,1.3408309,1.5164967
75,-2.198815,-2.0106206,-2.0973282,-1.8767701,1.3849179,1.4208152,1.2345556,1.2438315
76,-1.2406085,-0.97429585,-0.879757,-0.710096,1.1913586,1.4262232,1.2226855,1.1879277
77,-3.0896847,-2.9110055,-2.6333225,-2.5789826,1.328597,1.2487713,1.3796476,1.3622017
78,-1.7872896,-1.5518876,-1.3779339,-0.99292755,1.2006508,1.3805686,1.1732322,1.4565649
79,-3.3861268,-3.2008212,-2.94855,-2.8610904,1.4079117,1.2376345,1.2022196,1.2040977
