,tac0,tac1,tac2,tac3,sigma0,sigma1,sigma2,sigma3
249,-0.38387907,0.0054127243,0.3347445,0.43619418,1.1856467,1.2464428,1.2856055,1.2676924
250,-2.0872529,-1.5645497,-1.2826289,-1.050388,1.0806974,1.0033619,1.207734,1.1768509
251,-2.6177745,-2.2815542,-2.0492997,-1.7381741,0.87669563,0.8323706,0.87137175,0.9786845
252,-1.6894721,-1.2988348,-1.035664,-0.75306547,1.0326781,1.0554758,1.1093717,1.196303
253,-1.2038583,-0.72345924,-0.52301496,-0.20004256,1.2826358,1.1689072,1.2192489,1.2236787
254,-1.6895391,-0.92222846,-0.9240651,-0.9068954,1.3793359,1.519471,1.7284127,1.6246068
255,-0.8297217,-0.45409542,-0.116800666,0.031089095,1.3216187,1.1904712,1.2285246,1.1937883
256,-0.061852414,0.08449708,0.3246066,0.5849873,1.2066658,1.1353118,1.16355,1.1787769
257,-1.5026447,-1.387292,-1.1943334,-1.0170705,0.79503053,0.79707044,0.7824205,0.84112656
258,-1.6604714,-1.3784378,-1.0894334,-0.97194064,1.5233355,1.5349944,1.5582875,1.5962214
259,-1.9247277,-1.761292,-1.5314394,-1.2145457,1.0729141,1.0422183,1.1738203,0.9550682
260,-1.9075695,-1.7145728,-1.5362872,-1.2305859,1.0557885,1.1967942,1.0338604,1.1139784
261,-1.7488247,-1.5552623,-1.1524954,-0.74789166,1.2557585,1.1366532,1.1295025,1.1900721
262,-2.7976115,-2.537512,-2.2550285,-1.9589871,1.056232,1.0160776,1.0346344,1.0998436
263,-1.3613126,-0.9628935,-0.70225406,-0.36302206,1.2912322,1.2052695,1.3070456,1.3001515
264,-1.7637167,-1.5136501,-1.2374538,-1.0195031,1.0171005,1.0055431,1.0131295,1.0753274
265,-2.7562416,-2.5954983,-2.274704,-2.1013908,1.2674904,1.1006691,1.5160016,1.3542631
266,-2.3086865,-2.3212802,-1.9637212,-1.8093429,1.2163043,1.1534214,1.2035332,1.1364403
267,-1.6894431,-1.3002785,-1.2375259,-0.8814948,1.0768206,1.2046721,1.1689407,1.0936456
268,-1.9726156,-1.7335131,-1.4484133,-1.2679604,1.1321247,1.1200287,1.0462208,1.1270666
269,-1.3663709,-1.1246299,-0.9746952,-0.7101728,1.0084573,1.0947487,1.0647322,1.0298618
270,-3.2035408,-2.984957,-2.7608273,-2.5095716,0.9105617,0.85865486,0.8776471,0.89266676
271,-2.294908,-2.2383964,-1.8539393,-1.9350765,1.4450548,1.3830391,1.4810927,1.6302056
272,-2.5147593,-2.2533407,-1.9775662,-1.6863315,0.8246482,0.8264896,0.83637303,0.89333963
273,-2.4239428,-2.1523051,-2.0103998,-1.7007248,0.86087507,0.9266418,0.8547688,0.9790076
274,-2.1120238,-1.8034915,-1.7808957,-1.6527094,1.1509866,1.1566935,1.2337295,1.2555305
275,-3.1289182,-3.0337992,-2.8255508,-2.4028578,1.0853434,0.96051145,1.033544,1.0989938
276,-1.7383285,-1.496724,-1.2807974,-0.9464772,1.0516634,1.0725274,1.0759083,1.0634477
277,-2.5951452,-2.3208165,-2.1594071,-1.9363672,1.1822624,1.0852563,1.1503351,1.1216124
278,-3.237815,-2.9974518,-2.818316,-2.6551614,0.93519837,0.93478256,0.90242547,1.0145564
279,-1.9460094,-1.7630049,-1.4971865,-1.336674,0.8847212,0.8530883,0.81038284,0.978488
280,-2.7378037,-2.558012,-2.3153355,-1.9589827,0.88667923,0.68501407,0.7188746,0.82629806
281,-1.9352783,-1.7218001,-1.3329382,-1.1759572,1.0267993,1.0226444,1.0096567,0.96924305
282,-2.729731,-2.4871686,-2.21727,-1.9482802,0.8477116,0.7721348,0.7911786,0.8076207
283,-1.6562275,-1.4641372,-1.309568,-0.8364989,1.0113068,1.142996,1.04044,0.92127305
284,-1.9982842,-1.787892,-1.6914569,-1.4624604,0.9784961,1.0039396,0.9221081,0.91112864
285,-2.145271,-1.9145119,-1.6503443,-1.3227981,0.9928958,0.9890228,0.9616418,1.0682119
286,-3.6319914,-3.2971783,-3.189832,-2.8976657,1.1187264,0.88521063,0.93090713,0.9225157
287,-2.213593,-1.9475679,-1.6383219,-1.4897584,0.95506585,0.8393828,0.8331726,0.83772016
288,-1.5466987,-1.2398621,-0.96268237,-0.74787146,0.695133,0.66439664,0.71094704,0.7101819
289,-1.4133132,-1.200521,-0.94263166,-0.7470992,0.74110466,0.68270594,0.65921617,0.67864364
290,-0.7348551,-0.4786357,-0.19682682,0.16952403,1.073364,1.1074803,1.0659686,1.2308358
291,-1.2578132,-1.0502217,-0.8470995,-0.5662202,0.96238077,0.8680408,0.93860936,0.86978614
292,-2.9356642,-2.5497594,-2.410437,-2.0688922,0.7508204,0.74282646,0.7381243,0.73717284
293,-1.4954822,-1.2422563,-1.0004233,-0.6462791,0.7695267,0.7632304,0.76291394,0.80302894
294,-1.9610071,-1.415102,-1.1962671,-0.91829664,0.8835703,0.87186146,0.8080433,0.92546546
295,-0.9070306,-0.5868505,-0.24328469,0.014949474,0.8055613,0.8292533,0.81281286,0.7633297
296,-1.7305418,-1.4320573,-1.201135,-0.85535306,0.7810103,0.79638475,0.7394683,0.8094166
297,-1.8074197,-1.5874149,-1.3514085,-1.0207969,0.6331434,0.64659315,0.70474315,0.6983548
298,-1.092943,-0.77066875,-0.5634821,-0.39336276,0.8590738,0.8424547,0.8456899,0.8943266
299,-1.9092395,-1.5799087,-1.3981775,-1.1006423,0.71258307,0.73316723,0.6852838,0.82874316
300,-1.8448678,-1.4637208,-1.2289404,-1.0302485,0.75373334,0.7329157,0.715509,0.7357197
301,-1.5113438,-1.3384814,-0.9408237,-0.8569293,0.8297637,0.8245421,0.78866017,0.9487804
