,tac0,tac1,tac2,tac3,sigma0,sigma1,sigma2,sigma3
301,-1.3848069,-1.0619066,-0.9311028,-0.6986037,1.203909,1.1629838,1.0526122,1.1567509
302,-1.2807168,-1.059882,-0.79570425,-0.6183805,1.4026572,1.1547017,1.3433765,1.5289663
303,-1.5206122,-1.2388395,-0.9285248,-0.7886715,1.4143652,1.0985004,1.2817173,1.0820022
304,-0.43475732,-0.09101795,0.27061766,0.5074868,1.742339,1.5573937,1.7110419,2.2112114
305,-1.3155363,-0.9381924,-0.736431,-0.50358236,1.2676916,1.6798548,1.2157756,1.4034309
306,-1.3577186,-1.1278007,-0.95616025,-0.66330904,1.8976384,1.5598773,1.4000303,1.3817102
307,-0.84129953,-0.44248226,-0.27469456,-0.017089935,1.7786871,1.766824,2.1850357,1.597802
308,-0.7405944,-0.2970796,-0.09549603,-0.12997581,1.1704514,1.5036781,1.556479,1.3181561
309,-1.1810081,-0.84904474,-0.7089087,-0.50723,1.4123788,1.4249437,1.8530989,1.6932023
310,-0.62336224,-0.27458665,-0.08354172,0.048660517,1.8226475,1.5509166,1.6038045,1.7202928
311,-0.98816806,-0.77112514,-0.48450074,-0.3285036,2.0286767,1.5972131,2.00412,1.9725852
312,-0.6675038,-0.38863316,-0.22285841,-0.07660614,2.242343,2.0371084,1.8417659,1.8863312
313,-0.022234697,0.44434088,0.4849851,0.8083496,1.6783997,2.2138925,1.6034375,2.018311
314,-0.9302147,-0.55492616,-0.3901027,-0.21528664,1.733332,2.8414888,1.6465703,1.5037308
315,-0.4470308,-0.1744143,0.0031239737,0.21485165,1.8076813,1.8037384,1.4835786,1.701709
316,-0.60077864,-0.36784863,-0.100723304,-0.08224511,1.89427,1.5129619,1.957729,2.2978659
317,-1.1193933,-0.72024393,-0.44389838,-0.27589822,1.5053563,1.5154978,1.8602734,1.8934801
318,-1.0340422,-0.7568418,-0.52848536,-0.45520598,1.6125094,2.2193992,2.0156734,1.9088326
319,-0.31717947,0.04875207,0.3060017,0.48829284,2.099234,1.9478798,1.781914,2.1967049
320,-0.73875433,-0.48469946,-0.19625437,-0.16840538,2.1167138,1.6660415,2.0056217,1.4298927
321,-1.1398017,-0.72653306,-0.48672295,-0.36191106,1.4788702,1.3369404,1.9082797,1.5023372
322,-0.88590866,-0.4241227,-0.4858697,-0.15063639,1.7915356,2.4459815,2.1022503,2.5185215
323,-1.5127879,-1.2239611,-0.9788664,-0.87675035,1.4722767,1.6978151,1.4786607,1.9484444
324,-0.9381846,-0.6184768,-0.45885316,-0.32019123,1.7347355,1.9371547,1.890039,1.7807751
325,-0.97551537,-0.69542986,-0.45139548,-0.33446184,1.833789,1.5617676,1.730786,1.8980948
326,-1.5684181,-1.1022974,-0.78247184,-0.58984566,1.6044383,1.6277729,1.6349516,2.1505458
327,-1.2632353,-1.0550606,-0.86348844,-0.6986317,2.144867,1.6816262,2.2657878,1.6408321
328,-0.39610866,-0.219133,-0.07765989,0.23904619,1.9021205,1.9091544,1.7822367,2.2865505
329,-1.1450968,-0.72942895,-0.65968376,-0.5987616,1.4149629,2.166732,1.7476621,1.7180037
330,-0.37491506,-0.038799096,0.38132602,0.32154667,1.9005826,2.2577085,2.2570548,2.0457418
331,-0.6941146,-0.5769458,-0.48182255,-0.2757829,2.2059581,1.8031659,1.670938,1.5360811
332,-1.0813484,-0.84151435,-0.7283277,-0.43729287,2.315855,1.852857,1.7535468,1.941916
333,-0.664952,-0.32396567,-0.21487147,-0.14998183,1.8497778,2.2829933,2.0376563,1.9812418
334,-1.3830283,-0.9961437,-0.985114,-0.6912455,1.2579343,1.5231445,1.3001466,1.2608824
335,-1.2316811,-0.9650932,-0.7355419,-0.4817941,1.9000804,1.9946547,1.4744554,1.5931531
336,-0.91221386,-0.59622043,-0.39333463,-0.11425205,2.2437816,2.1353211,2.187175,2.5235035
337,-2.6033645,-2.4014044,-2.4434729,-2.1124084,1.510768,2.0484462,1.561704,2.395289
338,-0.6458243,-0.36455318,-0.21841076,0.15062976,2.4918938,1.9689411,1.8177797,2.119734
339,-1.0782468,-0.85943514,-0.55133,-0.26497453,2.2807858,1.6747952,2.0720105,2.2139103
340,-0.8721227,-0.5324193,-0.4378209,-0.31441996,2.3439817,2.6518354,2.6147206,2.598747
341,-0.7009813,-0.5026927,-0.18097977,-0.060205292,2.1417048,2.342964,2.062136,1.8973999
342,-0.6496987,-0.36174357,-0.1335313,-0.08029319,2.4249663,2.0764732,2.729699,1.8505514
343,-0.8424388,-0.5574881,-0.3977893,-0.20232932,1.8065981,2.032563,1.7980587,1.6927569
344,-1.2921119,-1.157184,-0.9995303,-0.81326514,2.3098488,1.8289506,1.6602256,1.5697259
345,-1.700428,-1.4536899,-1.1907966,-1.0784131,1.9036046,1.8168768,2.118165,2.5754268
346,-0.7553155,-0.49855012,-0.15178365,-0.06550957,2.214922,2.265676,2.865676,2.489611
347,-0.85651827,-0.7587274,-0.4693584,-0.34035924,2.113801,1.8267617,2.0835164,1.7210126
348,-1.2050133,-1.0307863,-0.92666614,-0.62222046,1.9876143,2.1855617,1.7941009,2.3297155
349,-1.6604049,-1.6404462,-1.1907961,-0.97798055,2.1408803,2.4731772,1.904233,1.7778834
350,-1.1955831,-0.8712834,-0.5702554,-0.45066854,1.6612699,1.7853204,1.8238848,2.59676
351,-1.219646,-0.8504088,-0.7304667,-0.497491,1.8288255,2.2463365,1.9449444,2.0929255
352,-1.1881542,-0.9446469,-0.74587643,-0.43218768,1.4634103,1.2452803,1.3630549,1.396676
353,-2.0310268,-1.8465965,-1.7113091,-1.6597337,1.0877008,1.0017717,1.0628272,1.1230758
354,-1.3137654,-1.0096653,-0.9080892,-0.60934025,1.902235,2.7489302,1.1212903,1.3641047
355,-0.9329253,-0.68738335,-0.5534246,-0.31336284,1.6266588,1.4537691,1.4028982,1.9831225
356,-1.2723486,-1.1474782,-0.873786,-0.60603225,1.5107367,1.3698224,1.5062337,1.2620734
357,-1.4450716,-1.1986914,-0.9341704,-0.64334583,1.3618268,1.2020922,1.3723528,1.3501976
358,-1.4171345,-1.1975263,-1.0250037,-0.77189296,2.0136988,1.6032854,1.7641681,1.2928625
359,-1.0658793,-0.8105679,-0.6308256,-0.335878,1.2997952,1.198924,1.335037,1.5667285
360,-1.1829205,-0.98619103,-0.8510489,-0.5278108,1.6356288,1.4044836,1.1614192,1.4802377
361,-0.6805146,-0.2749259,-0.1430786,-0.07505513,1.6489795,1.9053762,1.7123759,1.8005567
362,-1.2152352,-0.8480697,-0.63375217,-0.4113913,1.1083453,1.1711111,1.4226136,1.2946888
363,-1.0570173,-0.790258,-0.7777225,-0.5066671,1.9039077,1.6319131,1.3298583,1.1701753
364,-0.8973083,-0.62331396,-0.42052552,-0.24136966,1.7933452,1.4843234,1.5817149,1.5306234
365,-1.7483484,-1.5602497,-1.3476337,-1.0857887,1.3636798,1.5120512,1.716526,1.5347465
366,-1.5093538,-1.1776463,-0.8874371,-0.63526934,0.9592345,1.1380693,1.089492,1.2282063
367,-1.4413836,-1.1396481,-0.8973428,-0.7267782,1.3542814,1.3140041,1.2460893,1.2084626
368,-1.4690734,-1.1734762,-0.8545387,-0.64061636,1.2574351,1.2670983,1.3305484,1.2356825
369,-1.4311731,-1.1452156,-0.9280748,-0.687261,1.3442081,1.0242627,1.1868727,1.104686
